"Date: 2024-11-10+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"Personal","Contracts","4. Content from old site ","TEXT","nk12","","N","","","","","0","2","2024-06-28T19:11:26+0000","2024-08-29T15:22:41+0000","-22020097","Europe/Tallinn","false","false",,,"list","26",""
"Personal","Contracts","5. Update shop to use sepa ","TEXT","nk12","","N","","","","","0","2","2024-06-28T19:11:26+0000","2024-08-29T15:22:41+0000","-20971521","Europe/Tallinn","false","false",,,"list","27",""
"Personal","Contracts","6. Hide content based on subscription status  ","TEXT","nk12","","N","","","","","0","2","2024-06-28T19:11:26+0000","2024-06-29T06:52:18+0000","-19922945","Europe/Tallinn","false","false",,,"list","28",""
"Personal","Contracts","Migrate content from  nk","TEXT","nk12","","N","2024-06-27T07:30:00+0000","2024-06-27T07:30:00+0000","PT0S","","0","2","2024-06-25T18:38:53+0000","2024-06-27T13:26:25+0000","-18874369","Europe/Warsaw","false","false",,,"list","29",""
"Personal","Contracts","User info dashboard for admins","TEXT","nk12","","N","2024-06-13T22:00:00+0000","2024-06-13T22:00:00+0000","","","0","2","2024-06-14T16:30:32+0000","2024-06-17T15:08:45+0000","-17825793","Europe/Warsaw","true","false",,,"list","30",""
"Personal","Contracts","Finish user information","TEXT","nk12","","N","2024-06-13T22:00:00+0000","2024-06-13T22:00:00+0000","","","0","2","2024-06-12T14:06:20+0000","2024-06-14T16:30:22+0000","-16777217","Europe/Warsaw","true","false",,,"list","31",""
"Personal","Contracts","Finish shop","TEXT","nk12","","N","2024-06-11T22:00:00+0000","2024-06-11T22:00:00+0000","","","0","2","2024-06-12T14:06:11+0000","2024-06-12T14:50:32+0000","-15728641","Europe/Warsaw","true","false",,,"list","32",""
"Personal","Contracts","Stripe product catalogue, database entries","TEXT","nk12","","N","","","","","0","2","2024-06-11T17:49:25+0000","2024-06-11T20:22:40+0000","-14680065","Europe/Warsaw","false","false",,,"list","33",""
"Personal","Contracts","Stripe starter -> restrict access","TEXT","nk12","","N","2024-06-06T22:00:00+0000","2024-06-06T22:00:00+0000","","","0","2","2024-06-06T12:22:16+0000","2024-06-09T21:07:24+0000","-13631489","Europe/Warsaw","true","false",,,"list","34",""
"Personal","Contracts","NextJS Commerce?","TEXT","nk12","","N","2024-06-06T22:00:00+0000","2024-06-06T22:00:00+0000","","","0","2","2024-06-06T10:47:37+0000","2024-06-06T12:13:44+0000","-12582913","Europe/Warsaw","true","false",,,"list","35",""
"Personal","Contracts","Stripe starter  https://www.youtube.com/watch?v=I7CFD99sp1g","TEXT","nk12","","N","2024-06-05T22:00:00+0000","2024-06-05T22:00:00+0000","","","0","2","2024-06-05T18:00:24+0000","2024-06-06T10:47:13+0000","-11534337","Europe/Warsaw","true","false",,,"list","36",""
"Personal","Contracts","Fix blog page layout","TEXT","nk12","","N","2024-06-06T22:00:00+0000","2024-06-06T22:00:00+0000","","","0","2","2024-06-05T17:53:17+0000","2024-06-09T21:07:25+0000","-10485761","Europe/Warsaw","true","false",,,"list","37",""
"Personal","Contracts","Move blog post feed to main section (if public article)","TEXT","nk12","","N","2024-06-06T22:00:00+0000","2024-06-06T22:00:00+0000","","","0","2","2024-06-05T17:53:06+0000","2024-06-09T21:07:26+0000","-9437185","Europe/Warsaw","true","false",,,"list","38",""
"Personal","Contracts","Get password for user data","TEXT","nk12","","N","2024-06-05T22:00:00+0000","2024-06-05T22:00:00+0000","","","0","2","2024-06-05T17:43:16+0000","2024-06-05T17:44:31+0000","-8388609","Europe/Warsaw","true","false",,,"list","39",""
"Personal","Contracts","Upload existing/old users","TEXT","nk12","","N","2024-06-13T22:00:00+0000","2024-06-13T22:00:00+0000","","","0","2","2024-06-05T04:22:45+0000","2024-06-18T22:46:50+0000","-6291457","Europe/Warsaw","true","false",,,"list","40",""
"Personal","Contracts","Download schema & user export","TEXT","nk12","","N","2024-06-04T22:00:00+0000","2024-06-04T22:00:00+0000","","","0","2","2024-06-05T04:22:30+0000","2024-06-05T17:43:03+0000","-5242881","Europe/Warsaw","true","false",,,"list","41",""
"Personal","Contracts","Add more content to the administration dashboard and include stripe components #nk12","TEXT","","","N","2024-06-06T22:00:00+0000","2024-06-06T22:00:00+0000","","","0","2","2024-06-05T04:22:09+0000","2024-06-13T22:18:43+0000","-4194305","Europe/Warsaw","true","false",,,"list","42",""
"Personal","Contracts","Fix main styling issues, write bit of a brief on GP board (for blog components)","TEXT","Confluence, Star-Sailors, nk12","","N","2024-06-06T22:00:00+0000","2024-06-06T22:00:00+0000","","","0","2","2024-06-03T09:53:10+0000","2024-06-13T22:18:46+0000","-3145729","Europe/Warsaw","true","false",,,"list","43",""
"Personal","Contracts","Create blog posts & updates","TEXT","nk12","","N","2024-06-02T22:00:00+0000","2024-06-02T22:00:00+0000","","","0","2","2024-06-03T09:52:44+0000","2024-06-03T09:52:45+0000","-2097153","Europe/Warsaw","true","false",,,"list","44",""
"Personal","Contracts","Go back to prev working [build] commit and see what's changed","TEXT","nk12","","N","2024-06-01T22:00:00+0000","2024-06-01T22:00:00+0000","","","0","2","2024-05-31T21:06:03+0000","2024-06-03T08:54:27+0000","-1048577","Europe/Berlin","true","false",,,"list","45",""
"Personal","Contracts","Create standalone blog with local supabase infrastructure","TEXT","Star-Sailors, nk12","Determine how rich-text content is stored & renderedThen try to place it back into #nk12","N","2024-06-01T22:00:00+0000","2024-06-01T22:00:00+0000","","","0","2","2024-05-31T21:04:51+0000","2024-06-02T16:55:52+0000","-1","Europe/Berlin","true","false",,,"list","46",""
"Personal","Dailies","Find Italian for dinner tomorrow","TEXT","","","N","2024-06-25T20:30:00+0000","2024-06-25T20:30:00+0000","PT0S","","0","2","2024-06-25T18:26:43+0000","2024-06-25T20:27:49+0000","-15728641","Europe/Warsaw","false","false",,,"list","47",""
"Personal","Dailies","Pack your shit","TEXT","","","N","2024-06-24T19:30:00+0000","2024-06-24T19:30:00+0000","PT0S","","0","2","2024-06-24T16:51:20+0000","2024-06-24T21:05:27+0000","-14680065","Europe/Warsaw","false","false",,,"list","48",""
"Personal","Dailies","Download total drama episodes & plan out to-do for the drive","TEXT","","","N","2024-06-24T19:00:00+0000","2024-06-24T19:00:00+0000","PT0S","","0","2","2024-06-24T16:51:11+0000","2024-06-25T20:27:30+0000","-13631489","Europe/Warsaw","false","false",,,"list","49",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-08-10T11:00:00+0000","2024-08-10T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-08-11T12:56:59+0000","-12582913","Europe/Warsaw","false","false",,,"list","50",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-08-09T11:00:00+0000","2024-08-09T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-08-10T15:23:03+0000","-12582913","Europe/Warsaw","false","false",,,"list","51",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-08-07T11:00:00+0000","2024-08-07T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-08-09T11:00:26+0000","-12582913","Europe/Warsaw","false","false",,,"list","52",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-08-06T11:00:00+0000","2024-08-06T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-08-06T02:49:15+0000","-12582913","Europe/Warsaw","false","false",,,"list","53",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-08-02T11:00:00+0000","2024-08-02T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-08-04T11:00:02+0000","-12582913","Europe/Warsaw","false","false",,,"list","54",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-08-01T11:00:00+0000","2024-08-01T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-08-02T11:29:30+0000","-12582913","Europe/Warsaw","false","false",,,"list","55",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-07-30T11:00:00+0000","2024-07-30T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-08-01T11:20:24+0000","-12582913","Europe/Warsaw","false","false",,,"list","56",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-07-29T11:00:00+0000","2024-07-29T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-07-30T11:05:18+0000","-12582913","Europe/Warsaw","false","false",,,"list","57",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-07-28T11:00:00+0000","2024-07-28T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-07-29T11:11:27+0000","-12582913","Europe/Warsaw","false","false",,,"list","58",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-07-27T11:00:00+0000","2024-07-27T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-07-28T11:11:22+0000","-12582913","Europe/Warsaw","false","false",,,"list","59",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-07-23T11:00:00+0000","2024-07-23T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-07-27T11:01:17+0000","-12582913","Europe/Warsaw","false","false",,,"list","60",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-07-19T11:00:00+0000","2024-07-19T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-07-22T11:00:30+0000","-12582913","Europe/Warsaw","false","false",,,"list","61",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-07-18T11:00:00+0000","2024-07-18T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-07-18T12:40:58+0000","-12582913","Europe/Warsaw","false","false",,,"list","62",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-07-17T11:00:00+0000","2024-07-17T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-07-17T11:00:25+0000","-12582913","Europe/Warsaw","false","false",,,"list","63",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-07-16T11:00:00+0000","2024-07-16T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-07-16T11:07:27+0000","-12582913","Europe/Warsaw","false","false",,,"list","64",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-07-15T11:00:00+0000","2024-07-15T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-07-15T09:33:19+0000","-12582913","Europe/Warsaw","false","false",,,"list","65",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-07-09T11:00:00+0000","2024-07-09T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-07-10T07:06:08+0000","-12582913","Europe/Warsaw","false","false",,,"list","66",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-07-04T11:00:00+0000","2024-07-04T11:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-07-09T14:06:49+0000","-12582913","Europe/Warsaw","false","false",,,"list","67",""
"Personal","Dailies","Archive/record 10 tabs","TEXT","","","N","2024-06-28T14:00:00+0000","2024-06-28T14:00:00+0000","PT0S","","0","2","2024-06-24T07:24:14+0000","2024-06-29T14:01:07+0000","-12582913","Europe/Warsaw","false","false",,,"list","68",""
